"package_section","priority","category","stage","filename","source_kind","source_reference","package_path","size","sha256","notes"
"current_tree","MUST_TAKE","LOCAL_ONLY","3-13","AI4Science_Project_Handoff_for_Admissions_AI_2026-08-07.md","filesystem","E:\AI4science\00_project_context\AI4Science_Project_Handoff_for_Admissions_AI_2026-08-07.md","current_tree/00_project_context/AI4Science_Project_Handoff_for_Admissions_AI_2026-08-07.md","27091","F4052680BA15EF21671651FA391569B6C010B8590DB9DA7F627F4A733D2D46FE","HISTORICAL_VALID narrative; 非贡献 authority"
"current_tree","MUST_TAKE","LOCAL_ONLY","1-13","PROJECT_JOURNEY.md","filesystem","E:\AI4science\00_project_context\PROJECT_JOURNEY.md","current_tree/00_project_context/PROJECT_JOURNEY.md","85636","2D0B2C69E9BC17F3853DD08E62C228D6FAF0B29EBE4647F045D79D9A0646EFAF","HISTORICAL_VALID local continuation"
"current_tree","SHOULD_TAKE","LOCAL_ONLY","1-13","分工陈述_申请材料.md","filesystem","E:\AI4science\docs\分工陈述_申请材料.md","current_tree/docs/分工陈述_申请材料.md","5052","96F7ACDCB027071A32C24B228E31B621C19874D26D83128E95137F5610CFA604","DRAFT; 与当前 provenance 对齐; 非科学结果 authority"
"current_tree","SHOULD_TAKE","LOCAL_ONLY","13","如何讲清楚你的XRD项目_讲解指南.md","filesystem","E:\AI4science\docs\presentation_materials\如何讲清楚你的XRD项目_讲解指南.md","current_tree/docs/presentation_materials/如何讲清楚你的XRD项目_讲解指南.md","14048","CA288A0908B8CE70D09B53D73C2DE25F94B8EB8D8D0BB3A74273471A8D341962","HISTORICAL_VALID narrative; attribution需对齐当前provenance"
"current_tree","SHOULD_TAKE","LOCAL_ONLY","13","project_brief_for_TanQi.md","filesystem","E:\AI4science\docs\presentation_materials\project_brief_for_TanQi.md","current_tree/docs/presentation_materials/project_brief_for_TanQi.md","2654","A247C6E6BBAF7341DFFB93C178ABC342EB654CD441E23127417BFBB7CF80DEB0","DRAFT"
"current_tree","MUST_TAKE","ALREADY_ON_GITHUB","1-13","PROJECT_HISTORY.md","filesystem","E:\AI4science\docs\PROJECT_HISTORY.md","current_tree/docs/PROJECT_HISTORY.md","184823","87FD6C09F83D8FD40FE5A63544ABFE33E6F845F0879D6723F7B86BB6F83B4486","HISTORICAL_VALID; 不是当前执行或归属合同"
"current_tree","SHOULD_TAKE","ALREADY_ON_GITHUB","13","PXRD_RESULT_REPORTING_STANDARD.md","filesystem","E:\AI4science\docs\PXRD_RESULT_REPORTING_STANDARD.md","current_tree/docs/PXRD_RESULT_REPORTING_STANDARD.md","7336","F86E1A5C6C9B429AD1CCAF2314B5C67A59E5DD70086AFD1BADF8D98EB5E120A9","CURRENT_AUTHORITATIVE"
"current_tree","MUST_TAKE","ALREADY_ON_GITHUB","1-13","PXRD_RRUFF_COLLABORATOR_MODULE_PROVENANCE.md","filesystem","E:\AI4science\docs\PXRD_RRUFF_COLLABORATOR_MODULE_PROVENANCE.md","current_tree/docs/PXRD_RRUFF_COLLABORATOR_MODULE_PROVENANCE.md","7809","F91CE1DA32557CC535B2C06721D33B29808D358CA54DB8F8B752A352D8A7218A","CURRENT_AUTHORITATIVE; 2026-09-01 形成; filesystem CRLF hash 与 Git blob hash可不同"
"current_tree","SHOULD_TAKE","ALREADY_ON_GITHUB","1-13","RRUFF真实域_科研叙事.md","filesystem","E:\AI4science\docs\RRUFF真实域_科研叙事.md","current_tree/docs/RRUFF真实域_科研叙事.md","17147","B20130373C5F9A2254B8768F2FC7B4BD99B74F397A78289D4DAF888DC1566425","CURRENT_NARRATIVE; 与 provenance 身份对齐; ECE/NLL/Brier/confidence 是后续分析议程而非当前已验证结果; snapshot mtime 2026-09-01T22:44:10"
"current_tree","MUST_TAKE","LOCAL_ONLY","2","analyze_fewshot.py","filesystem","E:\AI4science\tmp\analyze_fewshot.py","current_tree/tmp/analyze_fewshot.py","7658","950214C0FB6750335DD7860F42F2126427C3156E688BBA84525335390D8E978B","EXPLORATORY; exact SHA matches historical blob"
