rruff_id,crystal_system,split
R060102,triclinic,adaptation_pool
R060645,triclinic,adaptation_pool
R061082,triclinic,adaptation_pool
R050193,triclinic,adaptation_pool
R050555,triclinic,adaptation_pool
R040119,triclinic,adaptation_pool
R050105,triclinic,adaptation_pool
R050160,triclinic,adaptation_pool
R040006,triclinic,adaptation_pool
R050061,triclinic,adaptation_pool
R050083,monoclinic,adaptation_pool
R050499,monoclinic,adaptation_pool
R060039,monoclinic,adaptation_pool
R050136,monoclinic,adaptation_pool
R050033,monoclinic,adaptation_pool
R060460,monoclinic,adaptation_pool
R050520,monoclinic,adaptation_pool
R070589,monoclinic,adaptation_pool
R050284,monoclinic,adaptation_pool
R050425,monoclinic,adaptation_pool
R050052,orthorhombic,adaptation_pool
R060042,orthorhombic,adaptation_pool
R050599,orthorhombic,adaptation_pool
R061043,orthorhombic,adaptation_pool
R040102,orthorhombic,adaptation_pool
R040004,orthorhombic,adaptation_pool
R050564,orthorhombic,adaptation_pool
R050200,orthorhombic,adaptation_pool
R050397,orthorhombic,adaptation_pool
R060195,orthorhombic,adaptation_pool
R060417,tetragonal,adaptation_pool
R050385,tetragonal,adaptation_pool
R060745,tetragonal,adaptation_pool
R040113,tetragonal,adaptation_pool
R050024,tetragonal,adaptation_pool
R050355,tetragonal,adaptation_pool
R050242,tetragonal,adaptation_pool
R050208,tetragonal,adaptation_pool
R050488,tetragonal,adaptation_pool
R050501,tetragonal,adaptation_pool
R060306,hexagonal,adaptation_pool
R060550,hexagonal,adaptation_pool
R050419,hexagonal,adaptation_pool
R060283,hexagonal,adaptation_pool
R050533,hexagonal,adaptation_pool
R040126,hexagonal,adaptation_pool
R050127,hexagonal,adaptation_pool
R060533,hexagonal,adaptation_pool
R050357,hexagonal,adaptation_pool
R060143,hexagonal,adaptation_pool
R060453,cubic,adaptation_pool
R050045,cubic,adaptation_pool
R070325,cubic,adaptation_pool
R040142,cubic,adaptation_pool
R040134,cubic,adaptation_pool
R060033,cubic,adaptation_pool
R060300,cubic,adaptation_pool
R060636,cubic,adaptation_pool
R060151,cubic,adaptation_pool
R060005,cubic,adaptation_pool
R050062,triclinic,locked_test
R050026,triclinic,locked_test
R050054,triclinic,locked_test
R040129,triclinic,locked_test
R050468,triclinic,locked_test
R060598,triclinic,locked_test
R060275,triclinic,locked_test
R050150,triclinic,locked_test
R050261,triclinic,locked_test
R050657,triclinic,locked_test
R060101,triclinic,locked_test
R060193,triclinic,locked_test
R050576,triclinic,locked_test
R050539,triclinic,locked_test
R070562,triclinic,locked_test
R040179,triclinic,locked_test
R050293,triclinic,locked_test
R040014,triclinic,locked_test
R050354,triclinic,locked_test
R090030,triclinic,locked_test
R070209,triclinic,locked_test
R040068,triclinic,locked_test
R070268,triclinic,locked_test
R060558,triclinic,locked_test
R050299,triclinic,locked_test
R060082,triclinic,locked_test
R050577,triclinic,locked_test
R050393,triclinic,locked_test
R040062,triclinic,locked_test
R050621,triclinic,locked_test
R050491,triclinic,locked_test
R050463,triclinic,locked_test
R040060,triclinic,locked_test
R050275,monoclinic,locked_test
R050398,monoclinic,locked_test
R050668,monoclinic,locked_test
R050114,monoclinic,locked_test
R070015,monoclinic,locked_test
R050416,monoclinic,locked_test
