rruff_id,mineral_name,crystal_system,exact_powder_description,xrd_identification_confirmed,raw_filetype_powder_profile,raw_rruff_id_match,raw_10_80_coverage,raw_strictly_increasing,dif_space_group_match,explicit_diffraction_impurity_warning_absent,known_strict_mp_match_absent,dif_consistency_pass,all_checks_pass
R050302,Tetrahedrite-(Zn),cubic,True,True,True,True,True,True,True,True,True,True,True
R050345,Pollucite,cubic,True,True,True,True,True,True,True,True,True,True,True
R050411,Spinel,cubic,True,True,True,True,True,True,True,True,True,True,True
R050479,Sulphohalite,cubic,True,True,True,True,True,True,True,True,True,True,True
R050553,Zunyite,cubic,True,True,True,True,True,True,True,True,True,True,True
R060075,Senarmontite,cubic,True,True,True,True,True,True,True,True,True,True,True
R060156,Northupite,cubic,True,True,True,True,True,True,True,True,True,True,True
R060446,Grossular,cubic,True,True,True,True,True,True,True,True,True,True,True
R070304,Gersdorffite,cubic,True,True,True,True,True,True,True,True,True,True,True
R070506,Hauerite,cubic,True,True,True,True,True,True,True,True,True,True,True
R040095,Fluorapophyllite-(K),tetragonal,True,True,True,True,True,True,True,True,True,True,True
R040153,Pyrolusite,tetragonal,True,True,True,True,True,True,True,True,True,True,True
R050056,Vesuvianite,tetragonal,True,True,True,True,True,True,True,True,True,True,True
R050281,Garronite-Ca,tetragonal,True,True,True,True,True,True,True,True,True,True,True
R050372,Diaboleite,tetragonal,True,True,True,True,True,True,True,True,True,True,True
R050412,Chiolite,tetragonal,True,True,True,True,True,True,True,True,True,True,True
R050640,Phosgenite,tetragonal,True,True,True,True,True,True,True,True,True,True,True
R050643,Wardite,tetragonal,True,True,True,True,True,True,True,True,True,True,True
R060414,Baotite,tetragonal,True,True,True,True,True,True,True,True,True,True,True
R060512,Hausmannite,tetragonal,True,True,True,True,True,True,True,True,True,True,True
R040005,Catapleiite,orthorhombic,True,True,True,True,True,True,True,True,True,True,True
R050091,Thomsonite-Ca,orthorhombic,True,True,True,True,True,True,True,True,True,True,True
R050309,Stephanite,orthorhombic,True,True,True,True,True,True,True,True,True,True,True
R050373,Enargite,orthorhombic,True,True,True,True,True,True,True,True,True,True,True
R050375,Baryte,orthorhombic,True,True,True,True,True,True,True,True,True,True,True
R050408,Anglesite,orthorhombic,True,True,True,True,True,True,True,True,True,True,True
R050513,Newberyite,orthorhombic,True,True,True,True,True,True,True,True,True,True,True
R061118,Mordenite,orthorhombic,True,True,True,True,True,True,True,True,True,True,True
R070485,Zektzerite,orthorhombic,True,True,True,True,True,True,True,True,True,True,True
R230005,Edwindavisite,orthorhombic,True,True,True,True,True,True,True,True,True,True,True
R050189,Vanadinite,hexagonal,True,True,True,True,True,True,True,True,True,True,True
R050352,Cancrinite,hexagonal,True,True,True,True,True,True,True,True,True,True,True
R050492,Zincite,hexagonal,True,True,True,True,True,True,True,True,True,True,True
R050512,Hydroxylapatite,hexagonal,True,True,True,True,True,True,True,True,True,True,True
R050646,Burbankite,hexagonal,True,True,True,True,True,True,True,True,True,True,True
R060168,Gmelinite-Na,hexagonal,True,True,True,True,True,True,True,True,True,True,True
R060285,Pyromorphite,hexagonal,True,True,True,True,True,True,True,True,True,True,True
R070464,Milarite,hexagonal,True,True,True,True,True,True,True,True,True,True,True
R090045,Greenockite,hexagonal,True,True,True,True,True,True,True,True,True,True,True
R100208,Despujolsite,hexagonal,True,True,True,True,True,True,True,True,True,True,True
R050002,Barysilite,trigonal,True,True,True,True,True,True,True,True,True,True,True
R050014,Chabazite-Ca,trigonal,True,True,True,True,True,True,True,True,True,True,True
R050109,Bobdownsite,trigonal,True,True,True,True,True,True,True,True,True,True,True
R050290,Pyrargyrite,trigonal,True,True,True,True,True,True,True,True,True,True,True
R050301,Fluor-uvite,trigonal,True,True,True,True,True,True,True,True,True,True,True
R050308,Parisite-(Ce),trigonal,True,True,True,True,True,True,True,True,True,True,True
R060003,Elbaite,trigonal,True,True,True,True,True,True,True,True,True,True,True
R060280,Dravite,trigonal,True,True,True,True,True,True,True,True,True,True,True
R060356,Proustite,trigonal,True,True,True,True,True,True,True,True,True,True,True
R060875,Willemite,trigonal,True,True,True,True,True,True,True,True,True,True,True
R050141,Creedite,monoclinic,True,True,True,True,True,True,True,True,True,True,True
R050423,Bakerite,monoclinic,True,True,True,True,True,True,True,True,True,True,True
R050453,Livingstonite,monoclinic,True,True,True,True,True,True,True,True,True,True,True
R050480,Miargyrite,monoclinic,True,True,True,True,True,True,True,True,True,True,True
R050569,Yttrotungstite-(Y),monoclinic,True,True,True,True,True,True,True,True,True,True,True
R060047,Leadhillite,monoclinic,True,True,True,True,True,True,True,True,True,True,True
R060061,Diopside,monoclinic,True,True,True,True,True,True,True,True,True,True,True
R060313,Sanidine,monoclinic,True,True,True,True,True,True,True,True,True,True,True
R060559,Clinohumite,monoclinic,True,True,True,True,True,True,True,True,True,True,True
R070576,Sorensenite,monoclinic,True,True,True,True,True,True,True,True,True,True,True
R040131,Wollastonite,triclinic,True,True,True,True,True,True,True,True,True,True,True
R050217,Weloganite,triclinic,True,True,True,True,True,True,True,True,True,True,True
R050396,Pectolite,triclinic,True,True,True,True,True,True,True,True,True,True,True
R050450,Kyanite,triclinic,True,True,True,True,True,True,True,True,True,True,True
R050500,Montebrasite,triclinic,True,True,True,True,True,True,True,True,True,True,True
R050582,Paradamite,triclinic,True,True,True,True,True,True,True,True,True,True,True
R060073,Sapphirine,triclinic,True,True,True,True,True,True,True,True,True,True,True
R060083,Babingtonite,triclinic,True,True,True,True,True,True,True,True,True,True,True
R060096,Reedmergnerite,triclinic,True,True,True,True,True,True,True,True,True,True,True
R061121,Axinite-(Mn),triclinic,True,True,True,True,True,True,True,True,True,True,True
