shot_budget,episode_id,sample_id,crystal_system,role,spectrum_sha256
1shot,E1,RRUFF-R050479,cubic,support_train,FFD3E026607219E2D785C2434F7E62280C9FBF8488C3635A91C40CC8B08398FA
1shot,E1,RRUFF-R050492,hexagonal,support_train,C15E2FD076CD1A5C28300CA911E0DFDBC30F8D4375F0522E05298BFFBB7AC53B
1shot,E1,RRUFF-R050453,monoclinic,support_train,748E031F478A4A0709D8B48B61C4E2AFCC640C96F0AAA1806CADDC93E7628276
1shot,E1,RRUFF-R061118,orthorhombic,support_train,61D4234B0BF051AA89DC857DC29463BF6F1CEDF881A1A5C7F5D5D3927C08BC9B
1shot,E1,RRUFF-R050056,tetragonal,support_train,220C69705BAA3F84B746522E9B8635ED3DF48367E89B99F75EB83CA2B8341BE0
1shot,E1,RRUFF-R060073,triclinic,support_train,ABFC1AC43A7F16579AD6C94EFCD336670464A8090B64DDAA85FA83B71C2C5FA0
1shot,E1,RRUFF-R050002,trigonal,support_train,7939392E76D64FE5593ED97F7F1E29FB556776FC65166BA2D10C850947F27226
1shot,E1,RRUFF-R050411,cubic,adaptation_validation,A294098231F3C88277BCC42A93A29B5412E1F5AE3395838520E755ABAE452A5C
1shot,E1,RRUFF-R070506,cubic,adaptation_validation,B7C137712506C34F57E4866D83C5790789226F132DB045100769D97C5DF24D2B
1shot,E1,RRUFF-R090045,hexagonal,adaptation_validation,BF32BC8A190E1C8AD288261208FCA47E969EB6B743FAB40A558C703F9AB3A473
1shot,E1,RRUFF-R100208,hexagonal,adaptation_validation,AA8874F87FB7C04D5B16B7179DAA680C2B7C46380FA226509BEBCF68E7FFAF73
1shot,E1,RRUFF-R050423,monoclinic,adaptation_validation,321C78904ADC5508D3C8D1A8B4848CE4D19591DDCECE31AB859C51BA661B188B
1shot,E1,RRUFF-R050480,monoclinic,adaptation_validation,A3B0306808281F7B2A4A886EAA8C820CB906D94BC78A346BB47E1270AB5D6965
1shot,E1,RRUFF-R050309,orthorhombic,adaptation_validation,58EB64677FC9C53368EAB95364595860E461CB1708E7B4424F982819DE313291
