sample_id,spectrum_path,crystal_system,source,license_or_permission,phase_purity_status,label_evidence,structure_identifier,spectrum_sha256,rruff_id,mineral_name,ideal_formula_display,ideal_formula_raw,measured_chemistry_raw,space_group,rruff_cell_crystal_system,sample_description,identification_status,official_record_url,raw_archive_member,raw_member_sha256,dif_archive_member,dif_member_sha256,evidence_path,dif_evidence_path,original_two_theta_min,original_two_theta_max,original_step_median,detected_peak_count_qc,contrast_q99_minus_q10,median_intensity_norm_10_80,negative_fraction_10_80,strict_matched_mp_id,strict_matched_mp_split,overlap_status,overlap_audit_confidence,overlap_note,selection_status,selection_rule_version,original_tier,benchmark_scope,freeze_date,dif_consistency_sqrt_pearson,dif_weighted_peak_coverage_5pct,dif_peak_recall_5pct,dif_best_global_shift_deg,dif_best_audit_fwhm_deg,strong_measured_peak_precision,unmatched_strong_measured_peak_count,role_assignment_hash,real_domain_role,adaptation_train_rank_within_class,role_assignment_seed,role_assignment_algorithm,role_assignment_status
RRUFF-R050345,spectra_10_80_step_002/R050345_Pollucite.csv,cubic,RRUFF official XY_RAW and DIF archives,Local research use with mandatory RRUFF citation; redistribution rights are not asserted; public release bundle omits spectra and DIF files,nominal_single_mineral_supported_by_RRUFF_metadata_and_measured_DIF_consistency; quantitative_phase_fraction_not_claimed,Official measured powder profile; confirmed XRD identification; paired DIF space group; measured-vs-DIF consistency audit passed,RRUFF:R050345; SG:Ia-3d; DIF_MEMBER_SHA256:C55F0A579D7835BFE4DFDBDA5BD769E0CDA39BBEAD805F641062F9B713772422,29D7C7A60D8C740CC578A26CAE6B03D243DCE3664DAA0E7042242E7F40D3FF57,R050345,Pollucite,Cs(Si2Al)O6·nH2O,Cs(Si_2_Al)O_6_·nH_2_O,(Cs_0.79_Na_0.19_Rb_0.02_)(Si_2.10_Al_0.90_)O_6_·H_2_O,Ia-3d,cubic,Powder,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://www.rruff.net/odr/rruff_sample/R050345,Pollucite__R050345-1__Powder__Xray_Data_XY_RAW__dcff7cf2510e2efd493735134624.txt,0F1B0E07F6E77692D9B01D020B3B34675A728735E7DE5979F11A39D09A453C40,Pollucite__R050345-1__Powder__DIF_File__eb92fac47c7234e05bf4ed993436.txt,C55F0A579D7835BFE4DFDBDA5BD769E0CDA39BBEAD805F641062F9B713772422,evidence/R050345_Pollucite_metadata.txt,structure_refs/R050345_Pollucite_DIF.txt,5.0,90.0,0.0099999999999997,256,0.1512915129127602,0.0147601476021014,0.0,,,NO_KNOWN_STRICT_RRUFF_MP_MATCH__STRUCTURE_OVERLAP_NOT_EXCLUSION_GATE_FOR_MEASUREMENT_DOMAIN_TEST,final_scope_resolved,This benchmark measures simulation-to-experiment measurement-domain transfer. It is not claimed as an unseen-structure benchmark. No known strict RRUFF–MP mapping match was detected.,FROZEN_FINAL_REAL_TEST,rruff-real-pxrd-70-final-v1,PRIMARY35,measurement_domain_external_test_not_unseen_structure_test,2026-07-24,0.656531407309,1.0,1.0,0.04,0.35,0.8,2,4DA768A9763FDD4B9742DABEE8EA4AE306F1993567A273C7B526F6444C35CD46,adaptation_train,3,20260724,"sha256-v1: SHA256(seed|crystal_system|sample_id), ascending within class",FROZEN_BEFORE_MODEL_ACCESS
RRUFF-R050479,spectra_10_80_step_002/R050479_Sulphohalite.csv,cubic,RRUFF official XY_RAW and DIF archives,Local research use with mandatory RRUFF citation; redistribution rights are not asserted; public release bundle omits spectra and DIF files,nominal_single_mineral_supported_by_RRUFF_metadata_and_measured_DIF_consistency; quantitative_phase_fraction_not_claimed,Official measured powder profile; confirmed XRD identification; paired DIF space group; measured-vs-DIF consistency audit passed,RRUFF:R050479; SG:Fm-3m; DIF_MEMBER_SHA256:8D718B013BF460B99DE23B61C4CAB05A38DA3BAAA4A71BA955C17A2506442FB7,FFD3E026607219E2D785C2434F7E62280C9FBF8488C3635A91C40CC8B08398FA,R050479,Sulphohalite,Na6(SO4)2ClF,Na_6_(SO_4_)_2_ClF,Na_6.00_(S_1.00_O_4_)_2_F_1.00_Cl_1.00_,Fm-3m,cubic,Powder,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://www.rruff.net/odr/rruff_sample/R050479,Sulphohalite__R050479-1__Powder__Xray_Data_XY_RAW__0d3c161e7041664d16e6fd81856f.txt,951FDC775088F1A83D1AFF0556BF7F9DAD332707A7D312B1878A1C9A0786576E,Sulphohalite__R050479-1__Powder__DIF_File__40a2d7d62950eef9d87ac4743cfd.txt,8D718B013BF460B99DE23B61C4CAB05A38DA3BAAA4A71BA955C17A2506442FB7,evidence/R050479_Sulphohalite_metadata.txt,structure_refs/R050479_Sulphohalite_DIF.txt,5.0,90.0,0.0099999999999997,190,0.2471910112355348,0.0124843945073247,0.0,,,NO_KNOWN_STRICT_RRUFF_MP_MATCH__STRUCTURE_OVERLAP_NOT_EXCLUSION_GATE_FOR_MEASUREMENT_DOMAIN_TEST,final_scope_resolved,This benchmark measures simulation-to-experiment measurement-domain transfer. It is not claimed as an unseen-structure benchmark. No known strict RRUFF–MP mapping match was detected.,FROZEN_FINAL_REAL_TEST,rruff-real-pxrd-70-final-v1,PRIMARY35,measurement_domain_external_test_not_unseen_structure_test,2026-07-24,0.731626200932,1.0,1.0,0.02,0.35,0.846153846154,2,1262A1059D5B4887E57E6026AA038CCF52E4FC439BDE1074DDE13A8FC52A1DC4,adaptation_train,1,20260724,"sha256-v1: SHA256(seed|crystal_system|sample_id), ascending within class",FROZEN_BEFORE_MODEL_ACCESS
RRUFF-R050553,spectra_10_80_step_002/R050553_Zunyite.csv,cubic,RRUFF official XY_RAW and DIF archives,Local research use with mandatory RRUFF citation; redistribution rights are not asserted; public release bundle omits spectra and DIF files,nominal_single_mineral_supported_by_RRUFF_metadata_and_measured_DIF_consistency; quantitative_phase_fraction_not_claimed,Official measured powder profile; confirmed XRD identification; paired DIF space group; measured-vs-DIF consistency audit passed,RRUFF:R050553; SG:F-43m; DIF_MEMBER_SHA256:3EBEA60E442C6D4A1AE8A1FB1AF1878B2D889C4A91F8368E94BA8A934628EC7E,D1384CF777D7DA52A0A310120300FE80F75DB92E8E347F8041EAF7FCBE1F9355,R050553,Zunyite,"Al13Si5O20(OH,F)18Cl","Al_13_Si_5_O_20_(OH,F)_18_Cl",(Al_12.99_Fe^3+^_0.01_)Si_5.00_O_20_((OH)_14.89_F_3.11_)Cl_1.00_,F-43m,cubic,Powder,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://www.rruff.net/odr/rruff_sample/R050553,Zunyite__R050553-1__Powder__Xray_Data_XY_RAW__0695db31cde0d4ed0e94ea24a95a.txt,13486E8A315A5D5506FA07B9A89CE9277680C62081A4E336B56B16698DCB6656,Zunyite__R050553-1__Powder__DIF_File__3bf58b72175f70d5066273376eb6.txt,3EBEA60E442C6D4A1AE8A1FB1AF1878B2D889C4A91F8368E94BA8A934628EC7E,evidence/R050553_Zunyite_metadata.txt,structure_refs/R050553_Zunyite_DIF.txt,5.0,90.0,0.0099999999999997,150,0.1977507029132334,0.0103092783505171,0.0,,,NO_KNOWN_STRICT_RRUFF_MP_MATCH__STRUCTURE_OVERLAP_NOT_EXCLUSION_GATE_FOR_MEASUREMENT_DOMAIN_TEST,final_scope_resolved,This benchmark measures simulation-to-experiment measurement-domain transfer. It is not claimed as an unseen-structure benchmark. No known strict RRUFF–MP mapping match was detected.,FROZEN_FINAL_REAL_TEST,rruff-real-pxrd-70-final-v1,PRIMARY35,measurement_domain_external_test_not_unseen_structure_test,2026-07-24,0.557262489055,0.988524511451,0.961538461538,0.04,0.35,0.95,1,1366B097494B921BD9B6D7CFEB9481363B37FC18C52F04E607120E563B510FE3,adaptation_train,2,20260724,"sha256-v1: SHA256(seed|crystal_system|sample_id), ascending within class",FROZEN_BEFORE_MODEL_ACCESS
RRUFF-R050411,spectra_10_80_step_002/R050411_Spinel.csv,cubic,RRUFF official XY_RAW and DIF archives,Local research use with mandatory RRUFF citation; redistribution rights are not asserted; public release bundle omits spectra and DIF files,nominal_single_mineral_supported_by_RRUFF_metadata_and_measured_DIF_consistency; quantitative_phase_fraction_not_claimed,Official measured powder profile; confirmed XRD identification; paired DIF space group; measured-vs-DIF consistency audit passed,RRUFF:R050411; SG:Fd3m; DIF_MEMBER_SHA256:B681A0CCF9CA17AF74A0F93A33575412E0069349BED66C85FD8B65EEE9127CC5,A294098231F3C88277BCC42A93A29B5412E1F5AE3395838520E755ABAE452A5C,R050411,Spinel,MgAl2O4,MgAl_2_O_4_,Mg_0.93_Al_2.04_O_4_,Fd3m,cubic,Powder,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://www.rruff.net/odr/rruff_sample/R050411,Spinel__R050411-1__Powder__Xray_Data_XY_RAW__ad3ee0014b5a5fb432438892480f.txt,E2D01184D7317E53F5B8FC535421354B9993A896EB6A948F9A70A0FF4F719934,Spinel__R050411-1__Powder__DIF_File__4d587bd3df4f0224448e9282f3fb.txt,B681A0CCF9CA17AF74A0F93A33575412E0069349BED66C85FD8B65EEE9127CC5,evidence/R050411_Spinel_metadata.txt,structure_refs/R050411_Spinel_DIF.txt,5.0,90.0,0.0099999999999997,241,0.2923408845735755,0.0151024811221241,0.0,,,NO_KNOWN_STRICT_RRUFF_MP_MATCH__STRUCTURE_OVERLAP_NOT_EXCLUSION_GATE_FOR_MEASUREMENT_DOMAIN_TEST,final_scope_resolved,This benchmark measures simulation-to-experiment measurement-domain transfer. It is not claimed as an unseen-structure benchmark. No known strict RRUFF–MP mapping match was detected.,FROZEN_FINAL_REAL_TEST,rruff-real-pxrd-70-final-v1,BACKUP35_PROMOTED,measurement_domain_external_test_not_unseen_structure_test,2026-07-24,0.777159382341,1.0,1.0,0.04,0.35,1.0,0,51060210A347C73A22AD92B630ABC5AEB46790BBEACAFA7C2CD54D4D159A93E9,adaptation_validation,,20260724,"sha256-v1: SHA256(seed|crystal_system|sample_id), ascending within class",FROZEN_BEFORE_MODEL_ACCESS
RRUFF-R070506,spectra_10_80_step_002/R070506_Hauerite.csv,cubic,RRUFF official XY_RAW and DIF archives,Local research use with mandatory RRUFF citation; redistribution rights are not asserted; public release bundle omits spectra and DIF files,nominal_single_mineral_supported_by_RRUFF_metadata_and_measured_DIF_consistency; quantitative_phase_fraction_not_claimed,Official measured powder profile; confirmed XRD identification; paired DIF space group; measured-vs-DIF consistency audit passed,RRUFF:R070506; SG:Pa3; DIF_MEMBER_SHA256:82BE85AA35A263FCD9CED982F9CD4BD5ECA3560CB96AF42AA607AE0BBB547A50,B7C137712506C34F57E4866D83C5790789226F132DB045100769D97C5DF24D2B,R070506,Hauerite,MnS2,MnS_2_,Mn_1.00_S_2.00_,Pa3,cubic,Powder,The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis,https://www.rruff.net/odr/rruff_sample/R070506,Hauerite__R070506-1__Powder__Xray_Data_XY_RAW__4757054e9035935c146eaac309fd.txt,2E43E540F883367D39F84790D737475A04DFDAF8F639FFCB8E2860DDED76AAF0,Hauerite__R070506-1__Powder__DIF_File__4b0e7a9721c8db4647e6bd363963.txt,82BE85AA35A263FCD9CED982F9CD4BD5ECA3560CB96AF42AA607AE0BBB547A50,evidence/R070506_Hauerite_metadata.txt,structure_refs/R070506_Hauerite_DIF.txt,5.0,90.0,0.0099999999999997,476,0.1284686536490396,0.0678314491263192,0.0,,,NO_KNOWN_STRICT_RRUFF_MP_MATCH__STRUCTURE_OVERLAP_NOT_EXCLUSION_GATE_FOR_MEASUREMENT_DOMAIN_TEST,final_scope_resolved,This benchmark measures simulation-to-experiment measurement-domain transfer. It is not claimed as an unseen-structure benchmark. No known strict RRUFF–MP mapping match was detected.,FROZEN_FINAL_REAL_TEST,rruff-real-pxrd-70-final-v1,BACKUP35_PROMOTED,measurement_domain_external_test_not_unseen_structure_test,2026-07-24,0.662426480718,1.0,1.0,0.04,0.35,1.0,0,50E0B573CEFED7F4A13E9ED58EBB661916CC7AF48CF1F81FEB1CAD4449D9B890,adaptation_validation,,20260724,"sha256-v1: SHA256(seed|crystal_system|sample_id), ascending within class",FROZEN_BEFORE_MODEL_ACCESS
RRUFF-R050302,spectra_10_80_step_002/R050302_Tetrahedrite-_Zn.csv,cubic,RRUFF official XY_RAW and DIF archives,Local research use with mandatory RRUFF citation; redistribution rights are not asserted; public release bundle omits spectra and DIF files,nominal_single_mineral_supported_by_RRUFF_metadata_and_measured_DIF_consistency; quantitative_phase_fraction_not_claimed,Official measured powder profile; confirmed XRD identification; paired DIF space group; measured-vs-DIF consistency audit passed,RRUFF:R050302; SG:I-43m; DIF_MEMBER_SHA256:EEF4FBCA002EE47480C751B6929E05053D4D081F8BC26F6D23AB2D47362D3CBF,B969A595729EA0D15CAB51BEC45B6D7DA0C87D0224D455FDE0DA819CCB32B3D7,R050302,Tetrahedrite-(Zn),Cu6(Cu4Zn2)Sb4S13,Cu_6_(Cu_4_Zn_2_)Sb_4_S_13_,(Cu_10.02_Zn_1.76_Fe_0.22_)(Sb_2.42_As_1.58_)S_13.00_,I-43m,cubic,Powder,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://www.rruff.net/odr/rruff_sample/R050302,Tetrahedrite-(Zn)__R050302-1__Powder__Xray_Data_XY_RAW__b5f0a50f88b130498a12366a2ac0.txt,6F76DEB34D98EBBD1D50E96D9F9523B1AA20FFECDE527778FD79B90A2AD065FE,Tetrahedrite-(Zn)__R050302-1__Powder__DIF_File__d788390eb820b0f235022bfeec2f.txt,EEF4FBCA002EE47480C751B6929E05053D4D081F8BC26F6D23AB2D47362D3CBF,evidence/R050302_Tetrahedrite-_Zn_metadata.txt,structure_refs/R050302_Tetrahedrite-_Zn_DIF.txt,5.0,90.0,0.0099999999999997,405,0.1413502109705164,0.0369198312239088,0.0,,,NO_KNOWN_STRICT_RRUFF_MP_MATCH__STRUCTURE_OVERLAP_NOT_EXCLUSION_GATE_FOR_MEASUREMENT_DOMAIN_TEST,final_scope_resolved,This benchmark measures simulation-to-experiment measurement-domain transfer. It is not claimed as an unseen-structure benchmark. No known strict RRUFF–MP mapping match was detected.,FROZEN_FINAL_REAL_TEST,rruff-real-pxrd-70-final-v1,PRIMARY35,measurement_domain_external_test_not_unseen_structure_test,2026-07-24,0.680508755971,1.0,1.0,0.06,0.35,1.0,0,6B28C958CCF009458BA4F5DD271DC800DF3DAC296486C76FAD63A9C02E4D8905,final_real_test,,20260724,"sha256-v1: SHA256(seed|crystal_system|sample_id), ascending within class",FROZEN_BEFORE_MODEL_ACCESS
RRUFF-R060075,spectra_10_80_step_002/R060075_Senarmontite.csv,cubic,RRUFF official XY_RAW and DIF archives,Local research use with mandatory RRUFF citation; redistribution rights are not asserted; public release bundle omits spectra and DIF files,nominal_single_mineral_supported_by_RRUFF_metadata_and_measured_DIF_consistency; quantitative_phase_fraction_not_claimed,Official measured powder profile; confirmed XRD identification; paired DIF space group; measured-vs-DIF consistency audit passed,RRUFF:R060075; SG:Fd-3m; DIF_MEMBER_SHA256:8211F16388CFC285A8FC6F8B9CE7B88D91F81592AB0F181FAAED405A28B9BEA1,C5F4AC6315E17B285616F73FF83500E5AC286A33F0949DC03E8CBF1BB299EB7A,R060075,Senarmontite,Sb2O3,Sb_2_O_3_,Sb_2.00_O_3_,Fd-3m,cubic,Powder,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://www.rruff.net/odr/rruff_sample/R060075,Senarmontite__R060075-1__Powder__Xray_Data_XY_RAW__6f6ca06dc9a61e831dea5a306b78.txt,0C8A4B776948186775D98FC21592E320A50E83FD070E6C9975E32A0D9708F643,Senarmontite__R060075-1__Powder__DIF_File__d172ba7660822e17a7abc29ee4fd.txt,8211F16388CFC285A8FC6F8B9CE7B88D91F81592AB0F181FAAED405A28B9BEA1,evidence/R060075_Senarmontite_metadata.txt,structure_refs/R060075_Senarmontite_DIF.txt,5.0,90.0,0.0099999999999997,495,0.2346938775524313,0.0136054421773462,0.0,,,NO_KNOWN_STRICT_RRUFF_MP_MATCH__STRUCTURE_OVERLAP_NOT_EXCLUSION_GATE_FOR_MEASUREMENT_DOMAIN_TEST,final_scope_resolved,This benchmark measures simulation-to-experiment measurement-domain transfer. It is not claimed as an unseen-structure benchmark. No known strict RRUFF–MP mapping match was detected.,FROZEN_FINAL_REAL_TEST,rruff-real-pxrd-70-final-v1,BACKUP35_PROMOTED,measurement_domain_external_test_not_unseen_structure_test,2026-07-24,0.833422885646,1.0,1.0,0.04,0.35,0.909090909091,1,B8032730BEFF694BF63DF27D66F27E6F8DF5B0D66E18C64854EC3E5A7C89072E,final_real_test,,20260724,"sha256-v1: SHA256(seed|crystal_system|sample_id), ascending within class",FROZEN_BEFORE_MODEL_ACCESS
RRUFF-R060156,spectra_10_80_step_002/R060156_Northupite.csv,cubic,RRUFF official XY_RAW and DIF archives,Local research use with mandatory RRUFF citation; redistribution rights are not asserted; public release bundle omits spectra and DIF files,nominal_single_mineral_supported_by_RRUFF_metadata_and_measured_DIF_consistency; quantitative_phase_fraction_not_claimed,Official measured powder profile; confirmed XRD identification; paired DIF space group; measured-vs-DIF consistency audit passed,RRUFF:R060156; SG:Fd3; DIF_MEMBER_SHA256:7F15066B85B036598721B071ED778A72ECDA7753FBA59942C452ECC6709C8921,3CABBEF0BCEAE8FE73D0C4C27051C80BC678C7B009784C97198BEB00E0409D32,R060156,Northupite,Na3Mg(CO3)2Cl,Na_3_Mg(CO_3_)_2_Cl,(Na_2.98_Ca_0.02_)Mg_1.00_(CO_3_)_2_Cl_1.00_,Fd3,cubic,Powder,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://www.rruff.net/odr/rruff_sample/R060156,Northupite__R060156-1__Powder__Xray_Data_XY_RAW__e65d3f2d0938782518ef1df3cf3f.txt,91E2369BE32BEC9F2433F6EF54B08050F2BCCBE5643DC19DFC4B4A4CF965EBE8,Northupite__R060156-1__Powder__DIF_File__d947c1f116eee9d843b85341f309.txt,7F15066B85B036598721B071ED778A72ECDA7753FBA59942C452ECC6709C8921,evidence/R060156_Northupite_metadata.txt,structure_refs/R060156_Northupite_DIF.txt,5.0,90.0,0.0099999999999997,381,0.1999999999994476,0.0257668711659728,0.0,,,NO_KNOWN_STRICT_RRUFF_MP_MATCH__STRUCTURE_OVERLAP_NOT_EXCLUSION_GATE_FOR_MEASUREMENT_DOMAIN_TEST,final_scope_resolved,This benchmark measures simulation-to-experiment measurement-domain transfer. It is not claimed as an unseen-structure benchmark. No known strict RRUFF–MP mapping match was detected.,FROZEN_FINAL_REAL_TEST,rruff-real-pxrd-70-final-v1,PRIMARY35,measurement_domain_external_test_not_unseen_structure_test,2026-07-24,0.632117356429,1.0,1.0,0.02,0.35,0.894736842105,2,81E8DF3B8DC902012EACF86D87B1A355B0EC96B55C13E20EFC3786A0FF7F4A00,final_real_test,,20260724,"sha256-v1: SHA256(seed|crystal_system|sample_id), ascending within class",FROZEN_BEFORE_MODEL_ACCESS
RRUFF-R060446,spectra_10_80_step_002/R060446_Grossular.csv,cubic,RRUFF official XY_RAW and DIF archives,Local research use with mandatory RRUFF citation; redistribution rights are not asserted; public release bundle omits spectra and DIF files,nominal_single_mineral_supported_by_RRUFF_metadata_and_measured_DIF_consistency; quantitative_phase_fraction_not_claimed,Official measured powder profile; confirmed XRD identification; paired DIF space group; measured-vs-DIF consistency audit passed,RRUFF:R060446; SG:Ia-3d; DIF_MEMBER_SHA256:21583452C6209008C0FFBD4BFBCBD0FBEBCF9AA0B33DB167EC4C97CA1500032D,F2945DE0346BF58A45CB344E78443361D7593243462A75F1609FF8D2D9EDA259,R060446,Grossular,Ca3Al2(SiO4)3,Ca_3_Al_2_(SiO_4_)_3_,(Ca_2.97_Mn_0.03_)(Al_1.96_Fe^3+^_0.04_)(Si_1.00_O_4_)_2.71_(OH)_1.16_ (x=0.29) ; OH estimated by charge balance,Ia-3d,cubic,Powder,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://www.rruff.net/odr/rruff_sample/R060446,Grossular__R060446-1__Powder__Xray_Data_XY_RAW__45a7ba8dba815534fa429c577bad.txt,C5D4665E49E421B0907AA40D92CE71E182ADE2D2C0B72AB05E53122AE5072F0B,Grossular__R060446-1__Powder__DIF_File__daf12f1e3aded1e710a63a844520.txt,21583452C6209008C0FFBD4BFBCBD0FBEBCF9AA0B33DB167EC4C97CA1500032D,evidence/R060446_Grossular_metadata.txt,structure_refs/R060446_Grossular_DIF.txt,5.0,90.0,0.0099999999999997,592,0.3481012658198373,0.0569620253162472,0.0,,,NO_KNOWN_STRICT_RRUFF_MP_MATCH__STRUCTURE_OVERLAP_NOT_EXCLUSION_GATE_FOR_MEASUREMENT_DOMAIN_TEST,final_scope_resolved,This benchmark measures simulation-to-experiment measurement-domain transfer. It is not claimed as an unseen-structure benchmark. No known strict RRUFF–MP mapping match was detected.,FROZEN_FINAL_REAL_TEST,rruff-real-pxrd-70-final-v1,BACKUP35_PROMOTED,measurement_domain_external_test_not_unseen_structure_test,2026-07-24,0.817104415146,0.909446148001,0.8,0.02,0.35,0.9,1,B8AB3DD7BEF5491743BBE09CCB69918D8EFAA12F8C83137093B012E734F89464,final_real_test,,20260724,"sha256-v1: SHA256(seed|crystal_system|sample_id), ascending within class",FROZEN_BEFORE_MODEL_ACCESS
RRUFF-R070304,spectra_10_80_step_002/R070304_Gersdorffite.csv,cubic,RRUFF official XY_RAW and DIF archives,Local research use with mandatory RRUFF citation; redistribution rights are not asserted; public release bundle omits spectra and DIF files,nominal_single_mineral_supported_by_RRUFF_metadata_and_measured_DIF_consistency; quantitative_phase_fraction_not_claimed,Official measured powder profile; confirmed XRD identification; paired DIF space group; measured-vs-DIF consistency audit passed,RRUFF:R070304; SG:P2_13; DIF_MEMBER_SHA256:EB50AED54917D47478A22BCB756315BEFA8359B59E34950152D7EFD0DCB1A608,13D7E190E082FE4BA8461D3C40A4528EA4767080F026D3B4478271E7425BC433,R070304,Gersdorffite,NiAsS,NiAsS,(Ni_0.99_Co_0.01_)As_1.00_S_1.00_ ; trace amounts of Fe,P2_13,cubic,Powder,The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis,https://www.rruff.net/odr/rruff_sample/R070304,Gersdorffite__R070304-1__Powder__Xray_Data_XY_RAW__372ce12f885e941dd0e1042a1bd0.txt,2CDF0375E07292EE825CA04FD7A6777862E80C950241D8D02522B6E4A19F1B8E,Gersdorffite__R070304-1__Powder__DIF_File__1bedf536a7c04ea8d2d636b7a56c.txt,EB50AED54917D47478A22BCB756315BEFA8359B59E34950152D7EFD0DCB1A608,evidence/R070304_Gersdorffite_metadata.txt,structure_refs/R070304_Gersdorffite_DIF.txt,5.0,90.0,0.0099999999999997,444,0.2881758764107144,0.0730837789658209,0.0,,,NO_KNOWN_STRICT_RRUFF_MP_MATCH__STRUCTURE_OVERLAP_NOT_EXCLUSION_GATE_FOR_MEASUREMENT_DOMAIN_TEST,final_scope_resolved,This benchmark measures simulation-to-experiment measurement-domain transfer. It is not claimed as an unseen-structure benchmark. No known strict RRUFF–MP mapping match was detected.,FROZEN_FINAL_REAL_TEST,rruff-real-pxrd-70-final-v1,BACKUP35_PROMOTED,measurement_domain_external_test_not_unseen_structure_test,2026-07-24,0.75827357128,0.990410930286,0.933333333333,0.04,0.35,0.733333333333,4,7FB587393C7F1E1C1EBD5E0996D7215F463096B8A6B24DAD5094389091D4C0FA,final_real_test,,20260724,"sha256-v1: SHA256(seed|crystal_system|sample_id), ascending within class",FROZEN_BEFORE_MODEL_ACCESS
