K,episode_seed,train_seed,method,accuracy,epochs_used
1,42,20260711,dynamic_erm,0.2063492089509964,169
1,42,20260711,js_lambda_60,0.2698412835597992,104
1,42,20260712,dynamic_erm,0.1746031790971756,156
1,42,20260712,js_lambda_60,0.2539682686328888,112
1,42,20260713,dynamic_erm,0.2063492089509964,146
1,42,20260713,js_lambda_60,0.2380952388048172,149
1,42,20260714,dynamic_erm,0.2063492089509964,99
1,42,20260714,js_lambda_60,0.2380952388048172,119
1,42,20260715,dynamic_erm,0.1746031790971756,171
1,42,20260715,js_lambda_60,0.1746031790971756,83
1,123,20260711,dynamic_erm,0.1587301641702652,130
1,123,20260711,js_lambda_60,0.2063492089509964,163
1,123,20260712,dynamic_erm,0.2539682686328888,162
1,123,20260712,js_lambda_60,0.2857142984867096,143
1,123,20260713,dynamic_erm,0.2539682686328888,169
1,123,20260713,js_lambda_60,0.2063492089509964,167
1,123,20260714,dynamic_erm,0.1428571492433548,142
1,123,20260714,js_lambda_60,0.2698412835597992,111
1,123,20260715,dynamic_erm,0.2539682686328888,114
1,123,20260715,js_lambda_60,0.2063492089509964,158
1,456,20260711,dynamic_erm,0.1746031790971756,94
1,456,20260711,js_lambda_60,0.1746031790971756,100
1,456,20260712,dynamic_erm,0.2222222238779068,96
1,456,20260712,js_lambda_60,0.2380952388048172,120
1,456,20260713,dynamic_erm,0.1587301641702652,84
1,456,20260713,js_lambda_60,0.1587301641702652,92
1,456,20260714,dynamic_erm,0.1587301641702652,75
1,456,20260714,js_lambda_60,0.2222222238779068,112
1,456,20260715,dynamic_erm,0.2222222238779068,90
1,456,20260715,js_lambda_60,0.1746031790971756,123
1,789,20260711,dynamic_erm,0.190476194024086,123
1,789,20260711,js_lambda_60,0.2857142984867096,94
1,789,20260712,dynamic_erm,0.190476194024086,92
1,789,20260712,js_lambda_60,0.30158731341362,120
1,789,20260713,dynamic_erm,0.2380952388048172,139
1,789,20260713,js_lambda_60,0.2698412835597992,171
1,789,20260714,dynamic_erm,0.2063492089509964,132
1,789,20260714,js_lambda_60,0.3333333432674408,171
1,789,20260715,dynamic_erm,0.2380952388048172,90
1,789,20260715,js_lambda_60,0.2539682686328888,131
1,1024,20260711,dynamic_erm,0.190476194024086,156
1,1024,20260711,js_lambda_60,0.2222222238779068,134
1,1024,20260712,dynamic_erm,0.190476194024086,182
1,1024,20260712,js_lambda_60,0.30158731341362,146
1,1024,20260713,dynamic_erm,0.190476194024086,162
1,1024,20260713,js_lambda_60,0.2380952388048172,150
1,1024,20260714,dynamic_erm,0.1587301641702652,170
1,1024,20260714,js_lambda_60,0.2222222238779068,157
1,1024,20260715,dynamic_erm,0.1746031790971756,126
1,1024,20260715,js_lambda_60,0.2539682686328888,149
2,42,20260711,dynamic_erm,0.2142857164144516,200
2,42,20260711,js_lambda_60,0.2857142984867096,200
2,42,20260712,dynamic_erm,0.1964285671710968,200
