selection_rank,material_id,formula,split,space_group,fingerprint,a,c,c_over_a,nsites,peak_count,restandardized
1,mp-1215558,ZnAg2GeS4,train,82,c43ba8cbd1ec351606541614f8c6dbb1d7ea78fc2529dfc2b43673390e8ceb08,5.798704,10.524942,1.8150507423727784,8,45,False
2,mp-1199451,B2S3,train,88,fb3864e7b351e3cead008d54e41f46d9de1d2d7092d7c66ad514b5e02157ac41,16.26974947,30.638072960000034,1.8831312071826287,250,616,False
3,mp-1207543,Zn10Ge(B4Rh9)2,train,127,bfaba3aa0589b6630172d7a10356b3a901b138b4ee6915645297628d405c496e,17.7356867,2.86226909,0.16138473454202368,74,169,False
4,mp-30665,Ga17Rh10,train,116,92338c5da6d2731612dd271c6f302c2700ba090695e8202908b254ca489d5654,5.879876,48.233912,8.203219251562446,108,113,False
5,mp-2728,MnIr,train,123,4567e991e4d84c9fcdf7c5609b937aa8d7c17ca7491382b06788a4e03c6894ee,2.662949,3.664448,1.3760864365032903,2,11,False
6,mp-1208126,Tm12Al7Si,train,140,2940cb4d583b4d870172fcae885325ac78d81dc813048a25780485fc9b8a5824,11.456324760035649,14.969745040043742,1.3066795288716275,40,166,False
7,mp-1209548,Rb(RuO2)4,train,87,6a2d10154f58513117b8a72efd27266cbbffa0eea00789a94ac56cf56b741a3f,9.923937570000012,3.15711988,0.3181317755911675,13,38,False
8,mp-1105540,CeSiIr2,train,141,a3bf642c82d7c030734d8a477ef0367287d7a560c6050512b13a3d3598e724a5,4.05264,36.060918,8.898130107781594,16,60,False
9,mp-1198331,Rb4LiH3(SO4)4,train,76,e51a6dca7c448ba9185cb544aea0a86e8791adbb2864157a4f8a9f4b447e8b17,7.80652816,30.0775482,3.852871287151035,112,373,False
10,mp-1873,ZnF2,train,136,0fad5953bb7b88f721fc1e98b17d4c155c9259a73438bd835f9b20bdf12895ed,4.70294417,3.13289021,0.6661550928000916,6,17,False
11,mp-1190530,Ba3(Ge4Ir)4,train,139,0163c618b624e11e5a7d1b8c8ea3cece64ef8c7c72afe4338152f48c72ee50b7,6.597008,22.704868,3.4416917487442795,23,111,False
12,mp-1007758,HfCd,train,129,3372b44a22899c7f335410eb74d2f7e8f50270ef242a7fddc21af142f05cd46f,3.0472637,9.16246376,3.0067840075671826,4,28,False
13,mp-696815,AlH4NF4,train,135,391f9bd3d5923eadc9d80fa01ec3ce5ab977403093e14a0e6595a787f48126c0,5.0145875,12.61717746,2.5160947854634106,40,42,False
14,mp-24118,H10SO8,train,114,fb4ae27055e788284e4cdcd876d25b2e1aa1ac175e779da9a3811426845519e5,7.45090593,6.2448897,0.8381383094444731,38,69,False
15,mp-28840,Y4RuI5,train,134,5f42abfb8885093091124f5e09a893e4d83ab6fc6fd8c42aa05e72dc1933ee22,12.435596,18.35522,1.4760225404556404,80,426,False
16,mp-1105101,Ba9In4,train,87,a76dcd5732dbd874830b1683f51a5d4aedcf92085c7ed4fe4bb36ae21a33ec29,14.17222149012934,6.01101046,0.42414031308969763,13,115,False
17,mp-1225911,La5Al15Cu2Au3,train,107,ed32e835871a9dc2bbf876271fdf3040a74479efd6413739337a2dfefd5f6a2c,4.369749,53.97716000000001,12.352462349668142,25,142,False
18,mp-1202258,Nd2Nb2S7O30,train,113,d50f11fe411c799dfb15ea69f758701b7e3eacb58d92f6551c17eb9d5febf5b5,13.018713,7.277835,0.5590287611379097,82,231,False
19,mp-1199091,Li3B5(HO5)2,train,96,8f839c9a11c67478e9c0553e5e0d8e60671964f55184c798ea700c6487657c6e,6.940908,14.695267,2.1171966261474724,80,148,False
20,mp-1223855,K2SnHgTe4,train,121,c84fd4c0edb0e47eaa6e18260df22aacc735772f635529af52ee4eacfceb9f03,8.787058,7.471676,0.8503046184513634,8,62,False
21,mp-1198764,Gd2Re3Si5,train,128,de42fe85c51e4d4ed85c29f94bf69a50b98e4cce70cf28d92ff98c1488542353,10.986853,5.581655,0.5080303704800637,40,115,False
22,mp-1219876,Pr4Fe3Si4Ru,train,115,abe83e9eb88c77a4643b4b08b47d9dc7fb940f0f350aeb46bb87ed2ceba82193,4.13963,14.151324,3.418499720989557,12,67,False
23,mp-30308,TlAuF6,train,92,4159b97152c8a5c6c845337ad27b62a266514a10e54e906c21e1b54d97cfc9da,5.75117948,27.97936576,4.864978715635562,64,205,False
24,mp-1212052,In2Hg5Te8,train,119,3898c1b9c0b5361bd5177ee4dbfdb3bbea13a0d5c895d5eb7e1e83de295537e9,9.16087598,12.77709308,1.3947457762658195,15,108,False
