proxy_group_id,anonymized_formula,space_group,nsites,material_id_a,split_a,formula_a,fingerprint_a,material_id_b,split_b,formula_b,fingerprint_b,split_edge,anonymous_high_recall_match,anonymous_default_tolerance_match,same_species_default_tolerance_match,classification,error
proxy_b8fea5d72f6a,A10B11,139,42,mp-1196590,validation,Lu11Ge10,d0e45c79f7c98acbbec9cfa0e108b05c69c5987ebb12bd83e511eb67d7ee706e,mp-12241,train,Ca11Sb10,91037bb7f45c7cee510c4fc76a34cabef0b56921c7039766824d372116f5ca98,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_b8fea5d72f6a,A10B11,139,42,mp-1196590,validation,Lu11Ge10,d0e45c79f7c98acbbec9cfa0e108b05c69c5987ebb12bd83e511eb67d7ee706e,mp-30703,test,Hf11Ga10,93f39d846f1be0fa874a2935e9e9107ebb8496c1f995bdc57c4367bf6224dd5e,validation-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_b8fea5d72f6a,A10B11,139,42,mp-12241,train,Ca11Sb10,91037bb7f45c7cee510c4fc76a34cabef0b56921c7039766824d372116f5ca98,mp-30703,test,Hf11Ga10,93f39d846f1be0fa874a2935e9e9107ebb8496c1f995bdc57c4367bf6224dd5e,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_ff54a29928ea,A10B19,86,58,mp-10534,validation,Sm10S19,9e19dde788904bde207fb0424e32df958a54b9dc9477b46ddb84f90cbaac74d2,mp-14613,train,Pr10Se19,26ce1a064e35b48b47d6b96edeadcd3abb636f1f41d2b34290cfa58c3fbcd3c8,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_ff54a29928ea,A10B19,86,58,mp-10534,validation,Sm10S19,9e19dde788904bde207fb0424e32df958a54b9dc9477b46ddb84f90cbaac74d2,mp-14650,train,Nd10Se19,03c4a40049ce5e0c338672c55325a4b1b62dbfab226c5bb3c376378aeace0ca7,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_ff54a29928ea,A10B19,86,58,mp-10534,validation,Sm10S19,9e19dde788904bde207fb0424e32df958a54b9dc9477b46ddb84f90cbaac74d2,mp-29832,train,Sm10Se19,30ad72bdd8ff8eabcbcc0d3822f57f8b590e81e50441d613f9251e5437f4ddb4,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_7fd7b31ca312,A19B20C40,115,79,mp-1217876,train,Tb20In40Rh19,4fe3930c0dafc9872497dc5e5f639c9c7fcb8e285346f1285e0d05b5dac86618,mp-1226356,test,Dy20In40Rh19,63b26fa2eefe8552c86f1b70f1bb6a7e5a2f1db5bb4716a8582320666ba070f6,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_0ed8fc2ba133,A2B2C4D5,136,26,mp-14324,train,K2Na4Be2O5,cabd0dd204d07f8cad1de921254d825dacc1691dc173de390c6c9ce9b4257fcd,mp-18151,test,Rb2Na4Co2O5,8de20ccf33db76d794cbe94f4ca2f8ea90d4fb75bb78f7c1843221da6eafaf0e,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_c385f0b627b3,A2B2C7,92,44,mp-13643,validation,Er2Ge2O7,d8cb913ece4b0771b9dff4d1e8cbb260a0086c20e1e26054b1177a8eb8268ee8,mp-14649,train,Tb2Ge2O7,b0f537c7a02731bbc312be6ed64e22865b35c7d1bf790818d63af7816c010b97,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_c385f0b627b3,A2B2C7,92,44,mp-13643,validation,Er2Ge2O7,d8cb913ece4b0771b9dff4d1e8cbb260a0086c20e1e26054b1177a8eb8268ee8,mp-14708,train,Tm2Ge2O7,8ebc722db28230be2a0308c657676dd2f7d86acd93ee7ed035eae34b262e5ac4,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-1078957,train,Ta3Be2,d1398a4c038c8804ca6010155844de168d63c8f2e3cc418b976429654510b56f,mp-12543,validation,Dy3Pd2,2218d1c97c7bc3ea24202b1e9c976c232feeda0dbc5eb5ebb220406334b0ef6e,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-1078957,train,Ta3Be2,d1398a4c038c8804ca6010155844de168d63c8f2e3cc418b976429654510b56f,mp-13427,test,Sr3Hg2,7aa1db15c4ad9b9692b99ffacd18127cf6b2420e7756ed27393d0ddedbad18df,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-1078957,train,Ta3Be2,d1398a4c038c8804ca6010155844de168d63c8f2e3cc418b976429654510b56f,mp-1985644,validation,Gd3Ga2,9d09e2b134f74fc98ca35ad1a53b89bb8be1afd24df581c22457b04408b1b742,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-1078957,train,Ta3Be2,d1398a4c038c8804ca6010155844de168d63c8f2e3cc418b976429654510b56f,mp-2105,test,Hf3Si2,02e8db80dda30480a157bc686041a44d364bdfb6208612358e9b3f8017d85af7,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-1079146,train,Th3Si2,d99c395975ae03e15c478db418ea37c5c113e434e370926179a92f5d92675550,mp-12543,validation,Dy3Pd2,2218d1c97c7bc3ea24202b1e9c976c232feeda0dbc5eb5ebb220406334b0ef6e,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-1079146,train,Th3Si2,d99c395975ae03e15c478db418ea37c5c113e434e370926179a92f5d92675550,mp-13427,test,Sr3Hg2,7aa1db15c4ad9b9692b99ffacd18127cf6b2420e7756ed27393d0ddedbad18df,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-1079146,train,Th3Si2,d99c395975ae03e15c478db418ea37c5c113e434e370926179a92f5d92675550,mp-1985644,validation,Gd3Ga2,9d09e2b134f74fc98ca35ad1a53b89bb8be1afd24df581c22457b04408b1b742,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-1079146,train,Th3Si2,d99c395975ae03e15c478db418ea37c5c113e434e370926179a92f5d92675550,mp-2105,test,Hf3Si2,02e8db80dda30480a157bc686041a44d364bdfb6208612358e9b3f8017d85af7,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-1207024,train,Zr3Si2,b0e08006e33a78803dc4e8b05b97f1bfcb9c7994a1df6175169a058ade939018,mp-12543,validation,Dy3Pd2,2218d1c97c7bc3ea24202b1e9c976c232feeda0dbc5eb5ebb220406334b0ef6e,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-1207024,train,Zr3Si2,b0e08006e33a78803dc4e8b05b97f1bfcb9c7994a1df6175169a058ade939018,mp-13427,test,Sr3Hg2,7aa1db15c4ad9b9692b99ffacd18127cf6b2420e7756ed27393d0ddedbad18df,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-1207024,train,Zr3Si2,b0e08006e33a78803dc4e8b05b97f1bfcb9c7994a1df6175169a058ade939018,mp-1985644,validation,Gd3Ga2,9d09e2b134f74fc98ca35ad1a53b89bb8be1afd24df581c22457b04408b1b742,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-1207024,train,Zr3Si2,b0e08006e33a78803dc4e8b05b97f1bfcb9c7994a1df6175169a058ade939018,mp-2105,test,Hf3Si2,02e8db80dda30480a157bc686041a44d364bdfb6208612358e9b3f8017d85af7,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-12543,validation,Dy3Pd2,2218d1c97c7bc3ea24202b1e9c976c232feeda0dbc5eb5ebb220406334b0ef6e,mp-12545,train,Er3Pd2,4f008dc3d69c523b076a04c68edee2628f7590778798c941554385b8f7a8063b,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-12543,validation,Dy3Pd2,2218d1c97c7bc3ea24202b1e9c976c232feeda0dbc5eb5ebb220406334b0ef6e,mp-13415,train,Ta3B2,e86e44986d2674c1226f0f3aaa91b93d133e2d06124e24645faeb9a1f7bd2515,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-12543,validation,Dy3Pd2,2218d1c97c7bc3ea24202b1e9c976c232feeda0dbc5eb5ebb220406334b0ef6e,mp-13427,test,Sr3Hg2,7aa1db15c4ad9b9692b99ffacd18127cf6b2420e7756ed27393d0ddedbad18df,validation-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-12543,validation,Dy3Pd2,2218d1c97c7bc3ea24202b1e9c976c232feeda0dbc5eb5ebb220406334b0ef6e,mp-16756,train,Ta3Ga2,2647f1a55159c033847f1f88220080c9c0c72e10fa85a881ce8ce7f16855054f,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-12543,validation,Dy3Pd2,2218d1c97c7bc3ea24202b1e9c976c232feeda0dbc5eb5ebb220406334b0ef6e,mp-2091,train,V3B2,5501b9a041f14aef74be50345b36747c77db589421108b9e65659e75c84f1f64,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-12543,validation,Dy3Pd2,2218d1c97c7bc3ea24202b1e9c976c232feeda0dbc5eb5ebb220406334b0ef6e,mp-2105,test,Hf3Si2,02e8db80dda30480a157bc686041a44d364bdfb6208612358e9b3f8017d85af7,validation-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-12543,validation,Dy3Pd2,2218d1c97c7bc3ea24202b1e9c976c232feeda0dbc5eb5ebb220406334b0ef6e,mp-30684,train,Zr3Ga2,784f45162968312835527f1edd8b276ea2b6b04dd49015ecf246092f3a18831c,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-12545,train,Er3Pd2,4f008dc3d69c523b076a04c68edee2628f7590778798c941554385b8f7a8063b,mp-13427,test,Sr3Hg2,7aa1db15c4ad9b9692b99ffacd18127cf6b2420e7756ed27393d0ddedbad18df,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-12545,train,Er3Pd2,4f008dc3d69c523b076a04c68edee2628f7590778798c941554385b8f7a8063b,mp-1985644,validation,Gd3Ga2,9d09e2b134f74fc98ca35ad1a53b89bb8be1afd24df581c22457b04408b1b742,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-12545,train,Er3Pd2,4f008dc3d69c523b076a04c68edee2628f7590778798c941554385b8f7a8063b,mp-2105,test,Hf3Si2,02e8db80dda30480a157bc686041a44d364bdfb6208612358e9b3f8017d85af7,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-13415,train,Ta3B2,e86e44986d2674c1226f0f3aaa91b93d133e2d06124e24645faeb9a1f7bd2515,mp-13427,test,Sr3Hg2,7aa1db15c4ad9b9692b99ffacd18127cf6b2420e7756ed27393d0ddedbad18df,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-13415,train,Ta3B2,e86e44986d2674c1226f0f3aaa91b93d133e2d06124e24645faeb9a1f7bd2515,mp-1985644,validation,Gd3Ga2,9d09e2b134f74fc98ca35ad1a53b89bb8be1afd24df581c22457b04408b1b742,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-13415,train,Ta3B2,e86e44986d2674c1226f0f3aaa91b93d133e2d06124e24645faeb9a1f7bd2515,mp-2105,test,Hf3Si2,02e8db80dda30480a157bc686041a44d364bdfb6208612358e9b3f8017d85af7,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-13427,test,Sr3Hg2,7aa1db15c4ad9b9692b99ffacd18127cf6b2420e7756ed27393d0ddedbad18df,mp-16756,train,Ta3Ga2,2647f1a55159c033847f1f88220080c9c0c72e10fa85a881ce8ce7f16855054f,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-13427,test,Sr3Hg2,7aa1db15c4ad9b9692b99ffacd18127cf6b2420e7756ed27393d0ddedbad18df,mp-1985644,validation,Gd3Ga2,9d09e2b134f74fc98ca35ad1a53b89bb8be1afd24df581c22457b04408b1b742,validation-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-13427,test,Sr3Hg2,7aa1db15c4ad9b9692b99ffacd18127cf6b2420e7756ed27393d0ddedbad18df,mp-2091,train,V3B2,5501b9a041f14aef74be50345b36747c77db589421108b9e65659e75c84f1f64,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-13427,test,Sr3Hg2,7aa1db15c4ad9b9692b99ffacd18127cf6b2420e7756ed27393d0ddedbad18df,mp-30684,train,Zr3Ga2,784f45162968312835527f1edd8b276ea2b6b04dd49015ecf246092f3a18831c,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-16756,train,Ta3Ga2,2647f1a55159c033847f1f88220080c9c0c72e10fa85a881ce8ce7f16855054f,mp-1985644,validation,Gd3Ga2,9d09e2b134f74fc98ca35ad1a53b89bb8be1afd24df581c22457b04408b1b742,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-16756,train,Ta3Ga2,2647f1a55159c033847f1f88220080c9c0c72e10fa85a881ce8ce7f16855054f,mp-2105,test,Hf3Si2,02e8db80dda30480a157bc686041a44d364bdfb6208612358e9b3f8017d85af7,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-1985644,validation,Gd3Ga2,9d09e2b134f74fc98ca35ad1a53b89bb8be1afd24df581c22457b04408b1b742,mp-2091,train,V3B2,5501b9a041f14aef74be50345b36747c77db589421108b9e65659e75c84f1f64,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-1985644,validation,Gd3Ga2,9d09e2b134f74fc98ca35ad1a53b89bb8be1afd24df581c22457b04408b1b742,mp-2105,test,Hf3Si2,02e8db80dda30480a157bc686041a44d364bdfb6208612358e9b3f8017d85af7,validation-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-1985644,validation,Gd3Ga2,9d09e2b134f74fc98ca35ad1a53b89bb8be1afd24df581c22457b04408b1b742,mp-30684,train,Zr3Ga2,784f45162968312835527f1edd8b276ea2b6b04dd49015ecf246092f3a18831c,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-2091,train,V3B2,5501b9a041f14aef74be50345b36747c77db589421108b9e65659e75c84f1f64,mp-2105,test,Hf3Si2,02e8db80dda30480a157bc686041a44d364bdfb6208612358e9b3f8017d85af7,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_efd30921ec56,A2B3,127,10,mp-2105,test,Hf3Si2,02e8db80dda30480a157bc686041a44d364bdfb6208612358e9b3f8017d85af7,mp-30684,train,Zr3Ga2,784f45162968312835527f1edd8b276ea2b6b04dd49015ecf246092f3a18831c,train-test,true,true,false,anonymous_prototype_default_tolerance,
proxy_18d0ca8dbc8d,A2B3,136,20,mp-16508,train,Lu3Al2,18d32864fd72437dc6a155bd483e0e78cb4c21b9779eaaab1c80de3925661644,mp-17974,validation,Na3Hg2,ac3d71c523374f8f5a526dcff99acc4c3e012ace35166a3d0896882c36528f90,train-validation,true,true,false,anonymous_prototype_default_tolerance,
proxy_8932d9e02857,A2B3,137,40,mp-2071,validation,Zn3P2,3db2d6bd7d3a1965177fe54aec6c655831bfb3f48bd4494778d57acd69a9c7d3,mp-2441,train,Cd3P2,a80901cfb20c9a05010cae7a8a1d7428a8ccbf12b1a22e7efb8c8ee777153c3f,train-validation,true,true,false,anonymous_prototype_default_tolerance,
