parent_id,representative_scan_id,crystal_system,space_group_consensus,label_source,symmetry_stable,formal_14060_overlap,manual_review_status,exclusion_reason,formula_reduced,parent_group_size
cnrs_parent_0087,pattern_24,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,KLiH6C6O7,1
cnrs_parent_0189,pattern_55,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,CuH14C15(N3O2)2,1
cnrs_parent_0260,pattern_78,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,VP2O7,1
cnrs_parent_0322,pattern_99,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,Li2H6C6O7,1
cnrs_parent_0036,pattern_120,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,Al2P3H6(CO)9,1
cnrs_parent_0053,pattern_157,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,H18C16N4O7,1
cnrs_parent_0063,pattern_180,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,H10C5I2N,1
cnrs_parent_0088,pattern_240,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,H9C10(NO2)2,1
cnrs_parent_0109,pattern_298,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,Ti2P2O9,1
cnrs_parent_0113,pattern_311,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,Na2HfSi2O7,1
cnrs_parent_0124,pattern_348,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,Sr11(MoO9)4,4
cnrs_parent_0147,pattern_417,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,CoH16(C2O3)4,1
cnrs_parent_0148,pattern_423,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,FeH4C14(SN3)2,1
cnrs_parent_0154,pattern_444,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,H21C18N3O4,1
cnrs_parent_0158,pattern_456,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,H17PbC10S2N3,1
cnrs_parent_0161,pattern_464,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,H28C26N5(ClO2)2,1
cnrs_parent_0207,pattern_585,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,H15C15NO8,1
cnrs_parent_0233,pattern_653,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,H5PbC4S2N,1
cnrs_parent_0253,pattern_753,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,AlCuPH43C19S2,1
cnrs_parent_0291,pattern_881,triclinic,2,structure_recomputed_stable_system,True,False,NOT_RUN,,NaLiH6C6O7,1
cnrs_parent_0321,pattern_979,triclinic,1,structure_recomputed_stable_system,True,False,NOT_RUN,,Si17H13C6(N2O17)2,1
cnrs_parent_0028,pattern_11,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,AlP2H5(CO)6,1
cnrs_parent_0049,pattern_15,monoclinic,14,structure_recomputed_stable_system,True,False,NOT_RUN,,H8C9N3O4,1
