position,parent_id,scan_id,crystal_system,label_index,view_seed
0,cnrs_parent_0087,pattern_24,triclinic,0,18446678157872106018
1,cnrs_parent_0189,pattern_55,triclinic,0,5473092727087961382
2,cnrs_parent_0260,pattern_78,triclinic,0,109213893989035566
3,cnrs_parent_0322,pattern_99,triclinic,0,5664325043635485548
4,cnrs_parent_0036,pattern_120,triclinic,0,9344656770529524182
5,cnrs_parent_0053,pattern_157,triclinic,0,10418295802268343541
6,cnrs_parent_0063,pattern_180,triclinic,0,5920513885593256698
7,cnrs_parent_0088,pattern_240,triclinic,0,10263047828538049369
8,cnrs_parent_0109,pattern_298,triclinic,0,650776949488530444
9,cnrs_parent_0113,pattern_311,triclinic,0,2781660657462478511
10,cnrs_parent_0124,pattern_348,triclinic,0,13334580837505553538
11,cnrs_parent_0147,pattern_417,triclinic,0,8002961668237594424
12,cnrs_parent_0148,pattern_423,triclinic,0,16782424796124209169
13,cnrs_parent_0154,pattern_444,triclinic,0,16541861553512091986
14,cnrs_parent_0158,pattern_456,triclinic,0,2887993165005234412
15,cnrs_parent_0161,pattern_464,triclinic,0,5236714925240762527
16,cnrs_parent_0207,pattern_585,triclinic,0,8511875734573765777
17,cnrs_parent_0233,pattern_653,triclinic,0,3260955492049041478
18,cnrs_parent_0253,pattern_753,triclinic,0,4397167864242414400
19,cnrs_parent_0291,pattern_881,triclinic,0,9408581569617379364
20,cnrs_parent_0321,pattern_979,triclinic,0,2132747447081130737
21,cnrs_parent_0028,pattern_11,monoclinic,1,16414840907920929485
22,cnrs_parent_0049,pattern_15,monoclinic,1,7233668147195986204
23,cnrs_parent_0115,pattern_32,monoclinic,1,7729732076772911443
24,cnrs_parent_0153,pattern_44,monoclinic,1,14142449434668507946
25,cnrs_parent_0214,pattern_60,monoclinic,1,7285130501284640419
26,cnrs_parent_0236,pattern_67,monoclinic,1,12265094051567042742
27,cnrs_parent_0005,pattern_102,monoclinic,1,1000705667676976943
28,cnrs_parent_0011,pattern_103,monoclinic,1,1296000786289154137
29,cnrs_parent_0027,pattern_109,monoclinic,1,7440342149553726902
30,cnrs_parent_0030,pattern_112,monoclinic,1,2740559690334776218
31,cnrs_parent_0031,pattern_113,monoclinic,1,13046710636740609079
32,cnrs_parent_0039,pattern_125,monoclinic,1,14578425343975295287
33,cnrs_parent_0042,pattern_129,monoclinic,1,3601714267001600573
34,cnrs_parent_0051,pattern_151,monoclinic,1,9323129670585303394
35,cnrs_parent_0060,pattern_175,monoclinic,1,8392304088691621370
36,cnrs_parent_0066,pattern_192,monoclinic,1,13872889776972982198
37,cnrs_parent_0072,pattern_205,monoclinic,1,13470718978818147302
38,cnrs_parent_0074,pattern_208,monoclinic,1,14311124897001566429
39,cnrs_parent_0080,pattern_225,monoclinic,1,11626417989718529946
40,cnrs_parent_0081,pattern_226,monoclinic,1,9875946851477889125
41,cnrs_parent_0084,pattern_233,monoclinic,1,12866999330417987955
42,cnrs_parent_0089,pattern_241,monoclinic,1,8153091956875435122
43,cnrs_parent_0091,pattern_243,monoclinic,1,954874971786093288
44,cnrs_parent_0092,pattern_244,monoclinic,1,12682520777036559179
45,cnrs_parent_0094,pattern_250,monoclinic,1,8874893325565991574
46,cnrs_parent_0095,pattern_255,monoclinic,1,10606152741233212709
47,cnrs_parent_0098,pattern_262,monoclinic,1,17513506432092763981
48,cnrs_parent_0099,pattern_266,monoclinic,1,8462904721861259810
49,cnrs_parent_0102,pattern_273,monoclinic,1,8044943068267770025
50,cnrs_parent_0110,pattern_303,monoclinic,1,4079821651513116663
51,cnrs_parent_0111,pattern_307,monoclinic,1,4158704192897190816
52,cnrs_parent_0121,pattern_342,monoclinic,1,15021853778458311280
53,cnrs_parent_0122,pattern_344,monoclinic,1,13128510757895527865
54,cnrs_parent_0128,pattern_362,monoclinic,1,14755098938093222049
55,cnrs_parent_0130,pattern_365,monoclinic,1,10072829882552746218
56,cnrs_parent_0137,pattern_388,monoclinic,1,17581543022468601539
57,cnrs_parent_0140,pattern_397,monoclinic,1,5800987223793009535
58,cnrs_parent_0151,pattern_431,monoclinic,1,14522818627347272950
59,cnrs_parent_0162,pattern_469,monoclinic,1,3445391136377685565
60,cnrs_parent_0165,pattern_474,monoclinic,1,18038310869378274685
61,cnrs_parent_0169,pattern_480,monoclinic,1,7092060689222308621
62,cnrs_parent_0170,pattern_482,monoclinic,1,3726531790991600817
63,cnrs_parent_0174,pattern_491,monoclinic,1,12364626192103010281
64,cnrs_parent_0176,pattern_497,monoclinic,1,2002624228740214779
65,cnrs_parent_0180,pattern_513,monoclinic,1,4458609187977726126
66,cnrs_parent_0181,pattern_514,monoclinic,1,5984793835088390426
67,cnrs_parent_0182,pattern_516,monoclinic,1,14813363533094681328
68,cnrs_parent_0186,pattern_538,monoclinic,1,17647340282376370510
69,cnrs_parent_0190,pattern_551,monoclinic,1,536018457988017539
70,cnrs_parent_0191,pattern_552,monoclinic,1,7926162572451593819
71,cnrs_parent_0193,pattern_554,monoclinic,1,4819998607750358764
72,cnrs_parent_0195,pattern_560,monoclinic,1,3348725596322271379
73,cnrs_parent_0198,pattern_568,monoclinic,1,14954684132469551117
74,cnrs_parent_0209,pattern_588,monoclinic,1,16476571395834178001
75,cnrs_parent_0210,pattern_590,monoclinic,1,3031316479701242918
76,cnrs_parent_0212,pattern_595,monoclinic,1,9719043284452097670
77,cnrs_parent_0213,pattern_599,monoclinic,1,15789042351809014090
78,cnrs_parent_0219,pattern_616,monoclinic,1,12418209863519815569
79,cnrs_parent_0221,pattern_618,monoclinic,1,14122321782183594994
80,cnrs_parent_0240,pattern_684,monoclinic,1,12013843977594540509
81,cnrs_parent_0243,pattern_710,monoclinic,1,8518528691435848026
82,cnrs_parent_0251,pattern_745,monoclinic,1,8365938541668686075
83,cnrs_parent_0254,pattern_756,monoclinic,1,6583920290079212165
84,cnrs_parent_0259,pattern_779,monoclinic,1,6077578441692026430
85,cnrs_parent_0269,pattern_815,monoclinic,1,820401064351218807
86,cnrs_parent_0271,pattern_825,monoclinic,1,1912445424834212588
87,cnrs_parent_0273,pattern_831,monoclinic,1,6503174095328296909
88,cnrs_parent_0274,pattern_833,monoclinic,1,11869511218453617528
89,cnrs_parent_0284,pattern_857,monoclinic,1,7701699846492675462
90,cnrs_parent_0285,pattern_859,monoclinic,1,6967130345522209858
91,cnrs_parent_0292,pattern_885,monoclinic,1,7621148659930811610
92,cnrs_parent_0294,pattern_890,monoclinic,1,5229892415466494921
93,cnrs_parent_0295,pattern_895,monoclinic,1,5496390088344029757
94,cnrs_parent_0296,pattern_896,monoclinic,1,10883446928617021898
95,cnrs_parent_0297,pattern_906,monoclinic,1,9236830323890987717
96,cnrs_parent_0298,pattern_907,monoclinic,1,10400010035613805081
97,cnrs_parent_0301,pattern_912,monoclinic,1,5662462667452963074
